,rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
339,J6F9NSBAQWA7NC8H.JRTCKXETXF.6YS6EN2CT7,0.252,US East (Ohio),Memory optimized,4,r5.xlarge,32.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
340,J6FHJ5W788GQPSCR.JRTCKXETXF.6YS6EN2CT7,12.24,US East (Ohio),GPU instance,32,p3.8xlarge,244.0,EBS only,10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
341,J8F5Q9BVHKTDD4YC.JRTCKXETXF.6YS6EN2CT7,0.0104,US East (Ohio),General purpose,2,t3.micro,1.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
342,JEQ7UDSSY464PEWF.JRTCKXETXF.6YS6EN2CT7,2.304,US East (Ohio),General purpose,48,m6i.12xlarge,192.0,EBS only,18750 Megabit,Linux,General Purpose,Linux,NA,No License required
343,JFNS2WWC7D67NF9V.JRTCKXETXF.6YS6EN2CT7,4.6104,US East (Ohio),Storage optimized,32,is4gen.8xlarge,192.0,4 x 7500 SSD,50 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
344,JKKTABECTJYNNCD5.JRTCKXETXF.6YS6EN2CT7,0.308,US East (Ohio),General purpose,8,m6g.2xlarge,32.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
345,K3Y5F2N8WVZ36GB2.JRTCKXETXF.6YS6EN2CT7,1.14,US East (Ohio),GPU instance,16,g3.4xlarge,122.0,EBS only,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
346,KHXDUCNSAZ88AKZ9.JRTCKXETXF.6YS6EN2CT7,4.8384,US East (Ohio),Compute optimized,96,c6id.24xlarge,192.0,4 x 1425 SSD,37500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
347,KMBWGP7PGETU962N.JRTCKXETXF.6YS6EN2CT7,10.982,US East (Ohio),Storage optimized,128,i4i.metal,1024.0,8 x 3750 NVMe SSD,75000 Megabit,Linux,Storage Optimized,Linux,NA,No License required
348,KQDYBADUXPB4WNNK.JRTCKXETXF.6YS6EN2CT7,26.688,US East (Ohio),Memory optimized,128,x1e.32xlarge,3904.0,2 x 1920 SSD,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
349,KWWUV365YCTMZSU7.JRTCKXETXF.6YS6EN2CT7,8.064,US East (Ohio),Memory optimized,128,r6i.metal,1024.0,EBS only,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
350,KWYZFXP7XRGGWS4G.JRTCKXETXF.6YS6EN2CT7,2.4192,US East (Ohio),Memory optimized,48,r6g.12xlarge,384.0,EBS only,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
351,KXMWDSQ7QVNTCSV7.JRTCKXETXF.6YS6EN2CT7,2.712,US East (Ohio),General purpose,48,m5d.12xlarge,192.0,2 x 900 NVMe SSD,10 Gigabit,Linux,General Purpose,Linux,NA,No License required
352,KUA7WD8CNCMGW7ZV.JRTCKXETXF.6YS6EN2CT7,0.0768,US East (Ohio),Compute optimized,2,c6gd.large,4.0,1 x 118 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
353,KXZVS9AJBTN5NBSE.JRTCKXETXF.6YS6EN2CT7,1.872,US East (Ohio),Storage optimized,32,h1.8xlarge,128.0,4 x 2000 HDD,10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
354,MNQ4KT73H2ZJJR69.JRTCKXETXF.6YS6EN2CT7,2.746,US East (Ohio),Storage optimized,32,i4i.8xlarge,256.0,2 x 3750 NVMe SSD,18750 Megabit,Linux,Storage Optimized,Linux,NA,No License required
355,MEUKXBZNWM7HEXEP.JRTCKXETXF.6YS6EN2CT7,2.3052,US East (Ohio),Storage optimized,16,is4gen.4xlarge,96.0,2 x 7500 SSD,25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
356,MGQ2J595ZFD7ZNNA.JRTCKXETXF.6YS6EN2CT7,10.0035,US East (Ohio),Memory optimized,96,x2idn.24xlarge,1536.0,2 x 1425 NVMe SSD,75 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
357,MFRQ7GCEAREYWGFS.JRTCKXETXF.6YS6EN2CT7,2.856,US East (Ohio),General purpose,48,m5n.12xlarge,192.0,EBS only,50 Gigabit,Linux,General Purpose,Linux,NA,No License required
358,MKSGJ3646DZKWB42.JRTCKXETXF.6YS6EN2CT7,0.077,US East (Ohio),Compute optimized,2,c5a.large,4.0,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
359,MNQK42E37YV33WD8.JRTCKXETXF.6YS6EN2CT7,6.048,US East (Ohio),Memory optimized,96,r5.24xlarge,768.0,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
